success,restarts_used,total_iterations,time_s,conflicts,start_conflicts,final_conflicts,used_sideways
True,1,9,0.007704966003075242,0,10,0,0
True,1,17,0.01415657700272277,0,10,0,0
True,1,13,0.011470069992356002,0,6,0,0
True,1,3,0.00339397499919869,0,4,0,0
True,1,45,0.03699380600301083,0,13,0,0
True,1,4,0.003032638007425703,0,13,0,0
True,1,35,0.027319729008013383,0,8,0,0
True,1,13,0.010123426996869966,0,6,0,0
True,1,22,0.016731228010030463,0,13,0,0
True,1,35,0.027585193995037116,0,9,0,0
True,1,4,0.0032420640054624528,0,11,0,0
True,1,17,0.013285797002026811,0,12,0,0
True,1,6,0.004951952010742389,0,11,0,0
True,1,3,0.002137184012099169,0,8,0,0
True,1,10,0.00727663999714423,0,7,0,0
True,1,9,0.006919480001670308,0,9,0,0
True,1,11,0.008357516999240033,0,4,0,0
True,1,12,0.009327770007075742,0,8,0,0
True,1,19,0.015033755000331439,0,14,0,0
True,1,6,0.005031099004554562,0,10,0,0
True,1,9,0.006622057990171015,0,7,0,0
True,1,81,0.05994421300420072,0,6,0,0
True,1,8,0.0059455060109030455,0,7,0,0
True,1,4,0.0030043029983062297,0,9,0,0
True,1,8,0.005811834998894483,0,6,0,0
True,1,7,0.0052834410016657785,0,8,0,0
True,1,12,0.008977625009720214,0,5,0,0
True,1,92,0.06739532499341294,0,5,0,0
True,1,13,0.00918632598768454,0,10,0,0
True,1,19,0.01397389400517568,0,9,0,0
